L,p,shots,sampled_error_mean,sampled_error_se,boundary_error_mean,boundary_error_se,mismatch_mean,mismatch_se,frustration_mean,frustration_se,largest_cluster_mean,largest_cluster_se,horizontal_spanning_mean,horizontal_spanning_se,vertical_spanning_mean,vertical_spanning_se
8,0.7000000000000001,5000,0.6993263888888882,0.0005421693384927388,0.699274999999998,0.0011357595431903667,0.6993410714285702,0.0006188291961203164,0.48621632653061236,0.0009972984284138302,0.9415937500000019,0.0010594430617582595,0.9901999999999985,0.0013932624433491384,0.9909999999999984,0.0013357233363860501
8,0.8,5000,0.79965138888889,0.0004720749471752686,0.7993124999999995,0.0009937821639312452,0.7997482142857156,0.0005273564297479588,0.435302040816326,0.001034144269758439,0.9878593749999979,0.00031586312613181825,0.9996000000000004,0.00028281442113046475,0.9996000000000002,0.0002828144211304648
8,0.9,5000,0.9002527777777761,0.00035346042980132056,0.9011062499999989,0.0007476629285035005,0.9000089285714297,0.0004016035730887071,0.2958285714285722,0.0010801137489402839,0.998737500000003,7.378364524243199e-5,1.0,0.0,1.0,0.0
8,1.0,5000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
10,0.1,5000,0.10017999999999998,0.00028669396533644053,0.09988499999999997,0.0006623896942294658,0.10024555555555557,0.00031375696271045893,0.2960740740740739,0.0008430704898597833,0.03972799999999994,0.00015673581729548844,0.0,0.0,0.0,0.0
10,0.2,5000,0.20027545454545456,0.000388064791830159,0.2002949999999998,0.0009088029376910667,0.20027111111111076,0.00042368048267609685,0.43736543209876494,0.0008141067045096263,0.07122200000000017,0.0003367135554201536,0.0,0.0,0.00019999999999999944,0.00019999999999999998
10,0.30000000000000004,5000,0.3001209090909094,0.0004345788937620843,0.29952499999999993,0.0010177116597565748,0.30025333333333293,0.00048060021809703194,0.48898271604938315,0.0007793166622325586,0.1316199999999998,0.0007584920448075951,0.006000000000000018,0.0010922630670866557,0.006400000000000006,0.0011278574433333747
10,0.4,5000,0.4001809090909085,0.00046025715437793757,0.4000049999999998,0.0010962962045330707,0.4002200000000022,0.0005093450008813025,0.49905432098765484,0.000796584227762595,0.2593239999999998,0.0015932659238372011,0.11179999999999998,0.004456918759071676,0.11819999999999996,0.004566171479959647
10,0.5,5000,0.5001554545454551,0.0004782029825063831,0.5002750000000017,0.0011346882296365348,0.500128888888887,0.0005304958078981171,0.4998098765432113,0.0007930710731778493,0.5208559999999987,0.0026469406324552106,0.5619999999999985,0.00701719660616988,0.5576000000000015,0.007024693392843046
10,0.6000000000000001,5000,0.5993990909090917,0.00046454976067048214,0.5995699999999995,0.0011184199536124744,0.5993611111111111,0.0005076679029256427,0.49963209876543063,0.0007888027982711884,0.8148039999999992,0.001997071349650562,0.9232000000000002,0.003766057439515165,0.9261999999999989,0.0036977623895185457
10,0.7000000000000001,5000,0.700821818181817,0.00044388055690656005,0.7006549999999976,0.0010468325399381373,0.7008588888888913,0.0004810417979275628,0.4879753086419749,0.0007836103616717784,0.9563820000000025,0.0006710559428361276,0.9975999999999978,0.0006920576484352672,0.9974000000000012,0.0007202442296541294
10,0.8,5000,0.8000599999999999,0.0003759278643940599,0.7991249999999992,0.0008961207962637073,0.800267777777779,0.000417088032442012,0.43485185185185243,0.0008148602210598979,0.9908759999999974,0.00020153076124886226,1.0,0.0,0.9997999999999996,0.00019999999999999996
10,0.9,5000,0.9002145454545438,0.0002844255310569692,0.8997700000000002,0.000674151552741083,0.900313333333334,0.0003154972959600991,0.2941530864197538,0.0008478772855527466,0.998936000000001,5.626912157487955e-5,1.0,0.0,1.0,0.0
10,1.0,5000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
