p_c,nu,loss,delta_loss,log10_one_plus_delta_loss
0.08066666666666666,0.39375,30221.446118505883,30194.888656573457,4.479947815297774
0.08066666666666666,0.44166666666666665,25644.34898029687,25617.791518364444,4.408558639488124
0.08066666666666666,0.4895833333333333,21847.445075166564,21820.88761323414,4.338892314747038
0.08066666666666666,0.5375,18687.466592696383,18660.909130763957,4.270956070415006
0.08066666666666666,0.5854166666666667,16036.857140251224,16010.2996783188,4.204426586148709
0.08066666666666666,0.6333333333333333,13793.828034198827,13767.270572266401,4.138879392102161
0.08066666666666666,0.68125,11880.81825753701,11854.260795604585,4.073911112160363
0.08066666666666666,0.7291666666666666,10239.371374442198,10212.813912509773,4.009187941094774
0.08066666666666666,0.7770833333333333,8824.984911928752,8798.427449996327,3.9444544149460063
0.08066666666666666,0.825,7603.034709033351,7576.4772471009255,3.8795246409851103
0.08066666666666666,0.8729166666666667,6545.863345574892,6519.305883642467,3.8142679700359032
0.08066666666666666,0.9208333333333333,5630.8057553609,5604.248293428474,3.748594855125022
0.08066666666666666,0.96875,4838.883877583633,4812.326415651208,3.682445314349138
0.08066666666666666,1.0166666666666666,4153.9481723936515,4127.390710461226,3.615780792148145
0.08066666666666666,1.0645833333333334,3562.10501384078,3535.5475519083548,3.5485795019186956
0.08066666666666666,1.1125,3051.321768270952,3024.7643063385267,3.48083509538472
0.08066666666666666,1.1604166666666667,2611.140612539349,2584.583150606924,3.412558508949737
0.08066666666666666,1.2083333333333333,2232.4590213590013,2205.901559426576,3.343782961548009
0.08066666666666666,1.25625,1907.3522074036885,1880.794745471263,3.2745722515192357
0.08066666666666666,1.3041666666666667,1628.923459412246,1602.3659974798206,3.205032669292886
0.08066666666666666,1.3520833333333333,1391.1745693362118,1364.6171074037863,3.13532894864895
0.08066666666666666,1.4,1188.892022042614,1162.3345601101885,3.0657046302184323
0.08066666666666666,1.4479166666666667,1017.5464589007184,990.988996968293,2.996506855034767
0.08066666666666666,1.4958333333333333,873.2038358729326,846.6463739405071,2.9282147085337282
0.08066666666666666,1.54375,752.4471132400012,725.8896513075757,2.861468485871878
0.08066666666666666,1.5916666666666666,652.3074896937782,625.7500277613527,2.7970943618669546
0.08066666666666666,1.6395833333333334,570.2042656105549,543.6468036781295,2.736114959269365
0.08066666666666666,1.6875,503.89245840134674,477.3349964689213,2.679732156362933
0.08066666666666666,1.7354166666666666,451.41732829103086,424.8598663586054,2.629266713470612
0.08066666666666666,1.7833333333333334,411.07501693196224,384.5175549995368,2.5860441589520633
0.08066666666666666,1.83125,381.37855540870873,354.8210934762833,2.5512316899784233
0.08066666666666666,1.8791666666666667,361.0285599181096,334.47109798568414,2.5256551101204607
0.08066666666666666,1.9270833333333333,348.88799909056087,322.3305371581354,2.5096467237670677
