d,p,batch,batch_shots,failure_count,failure_rate
7,0.015,4,1000,0,0.0
7,0.015,5,1000,0,0.0
7,0.015,6,1000,0,0.0
7,0.015,7,1000,0,0.0
7,0.015,8,1000,1,0.001
7,0.015,9,1000,0,0.0
7,0.015,10,1000,0,0.0
7,0.015,11,1000,0,0.0
7,0.015,12,1000,0,0.0
7,0.015,13,1000,0,0.0
7,0.015,14,1000,0,0.0
7,0.015,15,1000,0,0.0
7,0.015,16,1000,0,0.0
7,0.015,17,1000,0,0.0
7,0.015,18,1000,1,0.001
7,0.015,19,1000,0,0.0
7,0.015,20,1000,1,0.001
7,0.015,21,1000,0,0.0
7,0.015,22,1000,0,0.0
7,0.015,23,1000,0,0.0
7,0.015,24,1000,0,0.0
7,0.015,25,1000,0,0.0
7,0.015,26,1000,0,0.0
7,0.015,27,1000,0,0.0
7,0.015,28,1000,0,0.0
7,0.015,29,1000,0,0.0
7,0.015,30,1000,0,0.0
7,0.015,31,1000,0,0.0
7,0.015,32,1000,0,0.0
7,0.015,33,1000,0,0.0
7,0.015,34,1000,0,0.0
7,0.015,35,1000,0,0.0
7,0.015,36,1000,1,0.001
7,0.015,37,1000,0,0.0
7,0.015,38,1000,0,0.0
7,0.015,39,1000,0,0.0
7,0.015,40,1000,0,0.0
7,0.015,41,1000,0,0.0
7,0.015,42,1000,0,0.0
7,0.015,43,1000,0,0.0
7,0.015,44,1000,0,0.0
7,0.015,45,1000,0,0.0
7,0.015,46,1000,0,0.0
7,0.015,47,1000,0,0.0
7,0.015,48,1000,0,0.0
7,0.015,49,1000,0,0.0
7,0.015,50,1000,0,0.0
7,0.015,51,1000,1,0.001
7,0.015,52,1000,0,0.0
7,0.015,53,1000,1,0.001
7,0.015,54,1000,0,0.0
7,0.015,55,1000,0,0.0
7,0.015,56,1000,0,0.0
7,0.015,57,1000,1,0.001
7,0.015,58,1000,0,0.0
7,0.015,59,1000,0,0.0
7,0.015,60,1000,0,0.0
7,0.015,61,1000,0,0.0
7,0.015,62,1000,0,0.0
7,0.015,63,1000,0,0.0
7,0.015,64,1000,0,0.0
7,0.015,65,1000,0,0.0
7,0.015,66,1000,0,0.0
7,0.015,67,1000,0,0.0
7,0.015,68,1000,0,0.0
7,0.015,69,1000,0,0.0
7,0.015,70,1000,0,0.0
7,0.015,71,1000,0,0.0
7,0.015,72,1000,0,0.0
7,0.015,73,1000,1,0.001
7,0.015,74,1000,0,0.0
7,0.015,75,1000,0,0.0
7,0.015,76,1000,2,0.002
7,0.015,77,1000,1,0.001
7,0.015,78,1000,0,0.0
7,0.015,79,1000,0,0.0
7,0.015,80,1000,0,0.0
7,0.015,81,1000,0,0.0
