replicate,status,input_rms_shift,initial_p_c,initial_nu,p_c,nu,loss,converged,evaluations,boundary_hit
136,ok,0.001128269186863093,0.1,1.25,0.0978999365716135,1.2700122537840968,40.48009699132538,true,70,false
137,ok,0.0011375715959017377,0.1,1.25,0.09775772779472985,1.282704241429356,37.18236488758697,true,72,false
138,ok,0.0012229684590584816,0.1,1.25,0.09742196735170526,1.2989024389119581,43.700977338795184,true,64,false
139,ok,0.0013527046523699067,0.1,1.25,0.09774060296003192,1.2795427716819043,37.56087395799222,true,72,false
140,ok,0.001213716870598453,0.1,1.25,0.09758472012770897,1.2992058371913084,31.275407462818418,true,70,false
141,ok,0.0011559443790284348,0.1,1.25,0.0978066619106324,1.2856946043025557,35.35160534371066,true,75,false
142,ok,0.0012246521299969896,0.1,1.25,0.0979133157373087,1.2689916463194943,43.95831074950691,true,68,false
143,ok,0.0013032864441693305,0.1,1.25,0.09773775193606701,1.2848882343991825,42.125194619655,true,69,false
144,ok,0.0013611147392241874,0.1,1.25,0.09752447502152466,1.298327598875788,37.07969769499646,true,71,false
145,ok,0.0012193056109275776,0.1,1.25,0.09763335982626405,1.2931771715835474,34.678407397178994,true,71,false
146,ok,0.001213786545393291,0.1,1.25,0.0975857698832264,1.2920595781301278,35.561931057644166,true,70,false
147,ok,0.0013324413683160738,0.1,1.25,0.09755353246197883,1.281058260551435,38.066812786599726,true,72,false
148,ok,0.001178388730428123,0.1,1.25,0.09771960917911218,1.2833915831052405,37.99890661889388,true,69,false
149,ok,0.0011948722748002798,0.1,1.25,0.09773532557298445,1.2971358981500318,38.27944023323798,true,70,false
150,ok,0.0011604634025431178,0.1,1.25,0.0974848712965563,1.2917012719960304,36.78973513295767,true,73,false
151,ok,0.0012160292597194534,0.1,1.25,0.0973460593546904,1.2930289987428596,30.980045547066958,true,75,false
152,ok,0.0012485942712991214,0.1,1.25,0.097826780630197,1.2841457356528438,37.62706121398068,true,69,false
153,ok,0.0011131947130380406,0.1,1.25,0.09785757394869357,1.2737176375348107,36.559267816479185,true,69,false
154,ok,0.0013167205802370277,0.1,1.25,0.09754657625109997,1.2926873052931913,38.42322271228353,true,74,false
155,ok,0.0012486852344825833,0.1,1.25,0.09757666345103325,1.292635062807175,36.774000835176345,true,71,false
156,ok,0.001387630096225435,0.1,1.25,0.09786744054924369,1.2683124193099349,36.16675199469534,true,70,false
157,ok,0.0011910660231930633,0.1,1.25,0.09752605149776172,1.295694655679537,32.570694012834124,true,70,false
158,ok,0.0012316510047618349,0.1,1.25,0.09741574946858751,1.3033154438225576,38.828418900057535,true,74,false
159,ok,0.0013520861795895554,0.1,1.25,0.09754212482657405,1.2974286989362898,41.31382224838731,true,74,false
160,ok,0.0014624940645653586,0.1,1.25,0.09779071202306786,1.2814612869597783,49.42435789082431,true,69,false
161,ok,0.0011613380958357886,0.1,1.25,0.09745163970935976,1.299058608739887,37.12303358184613,true,72,false
162,ok,0.0011501384779749328,0.1,1.25,0.09772001135347941,1.281982455096091,31.98099435949613,true,74,false
163,ok,0.0013357598290814358,0.1,1.25,0.09728399441954334,1.297439727981054,32.481336296138885,true,72,false
164,ok,0.0010477530337598873,0.1,1.25,0.09754524195317543,1.2944832610759527,34.53555430019262,true,72,false
165,ok,0.0013177164122867427,0.1,1.25,0.09758091018931044,1.2870846299764331,41.69919630751936,true,71,false
166,ok,0.0012803370505312065,0.1,1.25,0.09768179304398529,1.307655453814696,41.34178750045009,true,77,false
167,ok,0.0011574589025581503,0.1,1.25,0.09762039964251978,1.2772733060408152,38.57139391578711,true,64,false
168,ok,0.0011057604500250185,0.1,1.25,0.0977364802491433,1.2779622738359726,34.1169871461476,true,71,false
169,ok,0.0011220021786471231,0.1,1.25,0.09760747860638123,1.2973539053505179,39.57687913504936,true,72,false
170,ok,0.0012550957860254233,0.1,1.25,0.09740163226298024,1.302697292739666,36.87375171121348,true,73,false
171,ok,0.0010765628891620657,0.1,1.25,0.09742793948148828,1.2794909174122548,39.36640068489548,true,73,false
172,ok,0.0012813284001909138,0.1,1.25,0.0977912594682134,1.293508499708661,40.868013411917396,true,72,false
173,ok,0.0012490855914687401,0.1,1.25,0.09780368681271089,1.2703811487723675,36.68002321626835,true,75,false
174,ok,0.001166657671922987,0.1,1.25,0.09779275753699587,1.2849979851138535,34.47171850680552,true,72,false
175,ok,0.0012561296622542776,0.1,1.25,0.09767499095086832,1.2734063767480799,38.81413645135898,true,74,false
176,ok,0.0010632462520943002,0.1,1.25,0.09783402626162127,1.2873996614034426,35.396443416161766,true,74,false
177,ok,0.0011602820006307334,0.1,1.25,0.09758827391225008,1.3091172564861968,41.20394436126642,true,73,false
178,ok,0.0014316122311041149,0.1,1.25,0.09778339879039426,1.2711208062497865,48.89512928717495,true,68,false
179,ok,0.0011591967205944853,0.1,1.25,0.09739086555319167,1.295015044916553,38.872541291841145,true,66,false
180,ok,0.0011443403404646836,0.1,1.25,0.09745554771678744,1.3013350421623253,35.51639432111384,true,74,false
181,ok,0.0012055407065137624,0.1,1.25,0.0980473083448021,1.2601179800843174,37.87084278839715,true,72,false
182,ok,0.001334640100375667,0.1,1.25,0.09776379436950973,1.2872426440476978,51.49498949768555,true,70,false
183,ok,0.0012823314992910682,0.1,1.25,0.0980199488497272,1.2852140476536598,40.67170627547089,true,71,false
184,ok,0.001217915645075025,0.1,1.25,0.09722860487112443,1.3061336290634527,41.923897011262554,true,71,false
185,ok,0.0014034393379510903,0.1,1.25,0.09734130561577017,1.2986791921487235,46.432170641203825,true,66,false
186,ok,0.0011652901932857358,0.1,1.25,0.0976097383006205,1.2939268872259797,39.362232586045394,true,71,false
187,ok,0.0012214694651611004,0.1,1.25,0.09747390946617923,1.3012120985177802,43.31264367620423,true,69,false
188,ok,0.0011676736395050886,0.1,1.25,0.09770748766134411,1.2867893948318128,40.036143225244565,true,72,false
189,ok,0.0010625173927407327,0.1,1.25,0.09759514611426102,1.2827913260042094,40.26731967638092,true,70,false
190,ok,0.0013252281424832666,0.1,1.25,0.0978459587167978,1.2783229703505377,38.103717752057904,true,72,false
191,ok,0.0012266364730583595,0.1,1.25,0.09757118004981458,1.295397775464121,41.15866461462506,true,74,false
192,ok,0.0012075549216863399,0.1,1.25,0.09771922158449356,1.2822204234339516,37.093353663318865,true,72,false
193,ok,0.0012259020362447995,0.1,1.25,0.09727257568459075,1.3013530623417797,28.960863700992817,true,69,false
194,ok,0.001121501418678892,0.1,1.25,0.09785898716338078,1.2851095022084842,31.63286498380356,true,73,false
195,ok,0.0013684383277262169,0.1,1.25,0.0978003433101044,1.27756303406745,50.490198872452886,true,74,false
196,ok,0.001315434960688848,0.1,1.25,0.09777896730452887,1.2696290743640157,37.03412356780733,true,73,false
197,ok,0.0011553258318664022,0.1,1.25,0.09744781453566796,1.3089378743672389,35.320036098507046,true,68,false
198,ok,0.0010583524349398817,0.1,1.25,0.09754850781183455,1.3088253930913334,23.610046132650396,true,72,false
199,ok,0.0013800550176901723,0.1,1.25,0.09787480781261837,1.286254297784977,36.69989018927309,true,72,false
200,ok,0.0012690440652342043,0.1,1.25,0.09822186349477832,1.2622362879525117,34.50057214881697,true,74,false
201,ok,0.0012977977547929754,0.1,1.25,0.09768119480984176,1.3065899674832266,42.585071835684325,true,69,false
202,ok,0.0014086202863479956,0.1,1.25,0.09782449897692433,1.2861398762745164,36.60851093146952,true,75,false
203,ok,0.001155906463813744,0.1,1.25,0.09711978740824545,1.303681395770107,46.040344959834535,true,70,false
204,ok,0.0012473032638852328,0.1,1.25,0.09761115173314364,1.3038688700179975,36.039735860298634,true,69,false
205,ok,0.0012720654925293532,0.1,1.25,0.0976499978249433,1.2872587721112867,35.5433733530073,true,72,false
206,ok,0.0011933700594389937,0.1,1.25,0.09761173938608417,1.2998861282789296,42.535373553130476,true,71,false
207,ok,0.0011457360564768259,0.1,1.25,0.09770684221809182,1.305006616814142,36.97671380520035,true,72,false
208,ok,0.0011597913818367227,0.1,1.25,0.09735215196199151,1.3118429974042558,42.45613843609379,true,66,false
209,ok,0.001132367780415619,0.1,1.25,0.0972362979597706,1.2841691810246014,34.21192326582298,true,71,false
210,ok,0.001077617972115894,0.1,1.25,0.09784103081056952,1.2903097275771387,35.00736403728755,true,71,false
211,ok,0.0012115901193406615,0.1,1.25,0.09773055981200246,1.295221176771576,42.77394025534773,true,72,false
