panel,kind,halfwidth,status,window,degree,distances,points,parameters,theta_internal,coefficients,p_c,nu,p_c_covariance_se,nu_covariance_se,chi_square,degrees_of_freedom,reduced_chi_square,goodness_of_fit_p,start_objective_range,jacobian_condition
hadamard/x,window,0.004,fitted,"[0.052, 0.06]",2,"[9, 11, 13, 15]",20,5,"[5.293373007065095, 1.8034256533904158, 0.059622705749867465, 0.03704903570821127, 0.005863124244038545]","[0.059622705749867465, 0.9802218759018885, 4.104157895756851]",0.05293373007065095,1.8034256533904158,0.0008607913966111734,0.3858519290361879,19.398787114714732,15,1.2932524743143154,0.19622811915379346,1.9539925233402755e-13,1612.6240552210688
hadamard/x,window,0.006,fitted,"[0.05, 0.062]",2,"[9, 11, 13, 15]",28,5,"[5.367549504690508, 1.575067879013075, 0.06254189301323176, 0.03742429243039496, 0.0064484998602033]","[0.06254189301323176, 0.8165454972083279, 3.0698155046034343]",0.05367549504690509,1.575067879013075,0.0005152091363478746,0.17415612601198102,24.978022156223943,23,1.0860009633140846,0.35141952463771947,3.375077994860476e-14,852.7617296107956
hadamard/x,window,0.008,fitted,"[0.048, 0.064]",2,"[9, 11, 13, 15]",36,5,"[5.352536183117569, 1.5643858815353036, 0.06224445374407205, 0.037731532687162964, 0.004127407951006058]","[0.06224445374407205, 0.8147354059865654, 1.9244280668610694]",0.05352536183117569,1.5643858815353036,0.00042057441352696105,0.11693723242783051,32.036702569282156,31,1.0334420183639406,0.4149678618437296,7.815970093361102e-14,674.2857940979616
hadamard/x,window,0.01,fitted,"[0.046, 0.066]",2,"[9, 11, 13, 15]",44,5,"[5.3578090067614506, 1.5152201216968955, 0.0624461846158301, 0.037049092173097424, 0.004510350932773321]","[0.0624461846158301, 0.7611837691762203, 1.9038565864640922]",0.053578090067614506,1.5152201216968955,0.0003662527706206074,0.08187171855261889,43.45037894610473,39,1.114112280669352,0.28746426146410825,3.907985046680551e-14,557.5867893212715
hadamard/x,window,0.004,fitted,"[0.052, 0.06]",3,"[9, 11, 13, 15]",20,6,"[5.257616277746348, 2.0528455318160304, 0.05839143264784703, 0.04123316962855704, -0.014303165915055205, 0.018742444711063344]","[0.05839143264784703, 1.2821960752257837, -13.83081019741811, 563.5719974669604]",0.052576162777463485,2.0528455318160304,0.0009510820724382758,0.4789204229700816,17.882329614339152,14,1.2773092581670824,0.21219282113880872,2.078337502098293e-13,2041.667645325918
hadamard/x,window,0.006,fitted,"[0.05, 0.062]",3,"[9, 11, 13, 15]",28,6,"[5.363609178490439, 1.613182499377344, 0.062482509849384825, 0.03716039936551309, 0.005286079337642812, 0.001669256823005163]","[0.062482509849384825, 0.8404825187846958, 2.704147030891074, 19.313816316729532]",0.05363609178490439,1.613182499377344,0.0005330029141798826,0.20076152938072633,24.781588274956494,22,1.1264358306798405,0.30763312799869347,2.398081733190338e-13,991.1179062104949
hadamard/x,window,0.008,fitted,"[0.048, 0.064]",3,"[9, 11, 13, 15]",36,6,"[5.359903963433804, 1.499208534153658, 0.062382896411953125, 0.03833813404805212, 0.005179880267951467, -0.0015876953485671474]","[0.062382896411953125, 0.7744665503150273, 2.1137961776348733, -13.088270223495751]",0.05359903963433804,1.499208534153658,0.0004141347431152187,0.12595071093942836,30.801971016269214,30,1.0267323672089739,0.4251887239087972,5.1514348342607263e-14,743.2093922842822
hadamard/x,window,0.01,fitted,"[0.046, 0.066]",3,"[9, 11, 13, 15]",44,6,"[5.369338595118194, 1.4227008722916208, 0.06272098629809157, 0.03810329329936425, 0.0053346244506774524, -0.0014871529184708222]","[0.06272098629809157, 0.7062844284821449, 1.8328971104877503, -9.47124303333942]",0.05369338595118194,1.4227008722916208,0.0003533388717941834,0.0865348959408004,38.48672613713396,38,1.0128085825561568,0.44746040583802216,3.552713678800501e-14,620.7969669105255
hadamard/x,distance,,fitted,"[0.05, 0.062]",2,"[11, 13, 15]",21,5,"[5.325964328826371, 1.571635078233026, 0.06082787275912001, 0.03703879098530336, 0.006032531203985989]","[0.06082787275912001, 0.8054515894448124, 2.8527575185019045]",0.053259643288263714,1.571635078233026,0.0008643452215669555,0.27858589888051105,14.28024739576444,16,0.8925154622352774,0.5778446751644659,7.105427357601002e-14,1210.841757946981
hadamard/x,distance,,fitted,"[0.05, 0.062]",2,"[9, 11, 13]",21,5,"[5.376887260139053, 1.6679273961035825, 0.0629030817261784, 0.037581835740192346, 0.006150957789080889]","[0.0629030817261784, 0.8925132471766325, 3.4690943237932292]",0.05376887260139054,1.6679273961035825,0.0008220147646303673,0.2963002129038381,21.770349698755176,16,1.3606468561721985,0.15076262360582182,5.861977570020827e-14,1246.6125740827467
