construction,error_channel,logical_observable,distance,p_x,p_z,shots,master_seed,series_seed,logical_failures,logical_failure_rate,logical_failure_standard_error,logical_state,boundary_orientation,clock
as,x_only,logical_x,11,0.02,0.0,50000,1235,2626298694903912375,20550,0.411,0.0022003590616079,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.022,0.0,50000,1235,2626298694903912375,21187,0.42374,0.0022099068414754503,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.024,0.0,50000,1235,2626298694903912375,21111,0.42222,0.0022088470820769823,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.026,0.0,50000,1235,2626298694903912375,21730,0.4346,0.002216857415351741,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.028,0.0,50000,1235,2626298694903912375,21587,0.43174,0.0022151323770826883,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.03,0.0,50000,1235,2626298694903912375,21965,0.4393,0.0022195292744183396,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.032,0.0,50000,1235,2626298694903912375,22286,0.44572,0.0022228525889046264,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.034,0.0,50000,1235,2626298694903912375,22552,0.45104,0.0022253220818569163,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.036,0.0,50000,1235,2626298694903912375,22777,0.45554,0.0022272104004785894,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.038,0.0,50000,1235,2626298694903912375,22916,0.45832,0.002228285338999474,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.04,0.0,50000,1235,2626298694903912375,23052,0.46104,0.002229269469579665,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.042,0.0,50000,1235,2626298694903912375,23507,0.47014,0.0022320769717910716,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.044,0.0,50000,1235,2626298694903912375,23349,0.46698,0.0022311865883426246,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.046,0.0,50000,1235,2626298694903912375,23488,0.46976,0.0022319746521858174,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.048,0.0,50000,1235,2626298694903912375,23854,0.47708,0.0022337174109542147,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.05,0.0,50000,1235,2626298694903912375,23850,0.477,0.0022337009647667703,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.052,0.0,50000,1235,2626298694903912375,23925,0.4785,0.002233999776186202,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.054,0.0,50000,1235,2626298694903912375,24040,0.4808,0.0022344187611099222,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.056,0.0,50000,1235,2626298694903912375,24137,0.48274,0.002234735297076591,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.058,0.0,50000,1235,2626298694903912375,24097,0.48194,0.0022346088534685436,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.06,0.0,50000,1235,2626298694903912375,24221,0.48442,0.0022349821636872182,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.062,0.0,50000,1235,2626298694903912375,24461,0.48922,0.002235548217328358,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.064,0.0,50000,1235,2626298694903912375,24276,0.48552,0.0022351301062801692,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.066,0.0,50000,1235,2626298694903912375,24497,0.48994,0.00223561533542781,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.068,0.0,50000,1235,2626298694903912375,24496,0.48992,0.002235613533685999,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.07,0.0,50000,1235,2626298694903912375,24547,0.49094,0.002235700858343978,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.072,0.0,50000,1235,2626298694903912375,24591,0.49182,0.0022357687161242775,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.074,0.0,50000,1235,2626298694903912375,24639,0.49278,0.0022358348400541577,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.076,0.0,50000,1235,2626298694903912375,24921,0.49842,0.002236056813231721,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.078,0.0,50000,1235,2626298694903912375,24797,0.49594,0.002235994259384402,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.08,0.0,50000,1235,2626298694903912375,24966,0.49932,0.002236065909583168,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.082,0.0,50000,1235,2626298694903912375,24857,0.49714,0.0022360313969173153,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.084,0.0,50000,1235,2626298694903912375,24803,0.49606,0.0022359985527723404,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.086,0.0,50000,1235,2626298694903912375,24913,0.49826,0.002236054437619979,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.088,0.0,50000,1235,2626298694903912375,24952,0.49904,0.0022360638559754953,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.09,0.0,50000,1235,2626298694903912375,24756,0.49512,0.0022359614737289192,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.092,0.0,50000,1235,2626298694903912375,24726,0.49452,0.0022359336734348806,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.094,0.0,50000,1235,2626298694903912375,25004,0.50008,0.0022360679488781193,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.096,0.0,50000,1235,2626298694903912375,24848,0.49696,0.0022360266474261885,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.098,0.0,50000,1235,2626298694903912375,24824,0.49648,0.0022360125652598644,plus,x_ns,gate_layer
as,x_only,logical_x,11,0.1,0.0,50000,1235,2626298694903912375,24937,0.49874,0.0022360608775254757,plus,x_ns,gate_layer
as,x_only,logical_x,13,0.0,0.0,50000,1235,2626298694903912375,0,0.0,0.0,plus,x_ns,gate_layer
